Sample ID,Field ID,Barcode Compliant,Flagged Record,Collection Date,Year,Identification,Extra Info
2021_13_4_189_5,2021_13_4_189_5,Yes,,24-Aug-21,2021,Diaphus theta,Set 4
2021_13_4_189_6,2021_13_4_189_6,Yes,,24-Aug-21,2021,Diaphus theta,Set 4
2021_13_4_189_7,2021_13_4_189_7,Yes,,24-Aug-21,2021,Diaphus theta,Set 4
2021_13_4_189_8,2021_13_4_189_8,Yes,,24-Aug-21,2021,Diaphus theta,Set 4
2021_13_4_189_9,2021_13_4_189_9,Yes,,24-Aug-21,2021,Diaphus theta,Set 4
2021_13_4_189_10,2021_13_4_189_10,Yes,,24-Aug-21,2021,Diaphus theta,Set 4
2021_MQ_198_3A,2021_MQ_198_3A,No,,,2021,Stenobrachius leucopsarus,WCVI 2021_exact location unknown
2021_MQ_200_4,2021_MQ_200_4,Yes,,,2021,Symbolophorus californiensis,WCVI 2021_exact location unknown
2021_MQ_198_2,2021_MQ_198_2,Yes,,,2021,Stenobrachius leucopsarus,WCVI 2021_exact location unknown
2021_MQ_200_2,2021_MQ_200_2,Yes,,,2021,Symbolophorus californiensis,WCVI 2021_exact location unknown
2021_MQ_200_3,2021_MQ_200_3,Yes,,,2021,Symbolophorus californiensis,WCVI 2021_exact location unknown
2021_MQ_193_1,2021_MQ_193_1,No,,,2021,Lampanyctus regalis,WCVI 2021_exact location unknown
2021_MQ_196_3,2021_MQ_196_3,Yes,,,2021,Protomyctophum thompsoni,WCVI 2021_exact location unknown
2021_MQ_193_3B,2021_MQ_193_3B,Yes,Yes,,2021,Stenobrachius leucopsarus,WCVI 2021_exact location unknown
2021_MQ_193_2,2021_MQ_193_2,Yes,Yes,,2021,Stenobrachius leucopsarus,WCVI 2021_exact location unknown
2021_MQ_200_1,2021_MQ_200_1,No,,,2021,Symbolophorus californiensis,WCVI 2021_exact location unknown
2021_MQ_196_1,2021_MQ_196_1,Yes,,,2021,Protomyctophum thompsoni,WCVI 2021_exact location unknown
2021_MQ_196_2,2021_MQ_196_2,No,,,2021,Protomyctophum thompsoni,WCVI 2021_exact location unknown
2021_MQ_198_1,2021_MQ_198_1,No,,,2021,Stenobrachius leucopsarus,WCVI 2021_exact location unknown
